confintID,intyear,endint,locationid1,conflictID,external_nameid,actorID,support,country1,external_name,rebel,direct,directdate,directyear,directsource,directtext,directnote,proxy,proxydate,proxyyear,proxysource,proxytext,proxynote,indirect,indirectdate,indirectyear,indirectsource,indirecttext,indirectnote,covert,covertdate,covertyear,covertsource,coverttext,covertnote,threat,threatdate,threatyear,threatsource,threattext,threatnote,ambiguous,ambiguousdate,ambiguousyear,ambiguoussource,ambiguoustext,ambiguousnote,startdate,startdate2,ependdate,starty,startm,startd,st2y,st2m,st2d,endy,endm,endd,related,coder,alleged
195,1975,1977,771,126,750,1127,2,Bangladesh,India,JSS/SB,1,04/19-20/1976,1976,"(April 24, 1976). Banglandesh border clashes. Facts on File World News Digest.","""India accused Bangladesh April 20 of ""unprovoked"" attacks on Indian border positions April 19-20... Dacca previously had charged that some Bangladesh army dissidents had been trained and armed in India and then crossed the border to engage units of the regular Bangladesh army.""",,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1975-02-28,1975-02-28,,1975,2,28,1975,2,28,,,,,"ts, ms",0
196,1975,1977,770,129,700,1128,2,Pakistan,Afghanistan,Baluchi separatists,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1973-05-18,1974-12-31,,1973,5,18,1974,12,31,,,,,ms,0
197,2008,2009,770,129,700,1129,2,Pakistan,Afghanistan,BLA,1,04/14/2008-01/11/2009,2008,MID #4584,"""Afghan and Pakistani troops clashed along the border four separate times.""",no direct mention of rebels,1,2008,2008,210,"Support exists, but is of unknown type for Hizb-i Islami-yi Afghanistan",,0,0,,,,,1,10/2008--12/2008,2008,"Kathy Gannon The Associated Press. (December 21, 2008 Sunday). Cave-by-cave warfare; Pakistan steps up offensive against Taliban forces dug in along its border with Afghanistan. Pittsburgh Post-Gazette (Pennsylvania). ","""The Bajur operation is an example of cooperation between the U.S. and Pakistan, with U.S. forces on the Afghan side of the border providing intelligence, surveillance and reconnaissance to Pakistani forces.""",no end date given,1,08/01/2009,2009,"aliphbay@aol.com (Rupee News). (August 1, 2009 Saturday). Karzai admits to anti-Pakistan terror camps in Afghanistan. Rupee News. ","""Pakistan has already deployed 100,000 troops and established over 1000 border check posts along the 2640-kilometer border with Afghanistan. It has repeatedly asked NATO forces and the Afghan government to seal the border on their side to check illegal border-crossing.""","reported date, not necessarily day of stationing",1,07/07/2008--10/08/2009,2008,"Ben Arnoldy Staff writer of The Christian Science Monitor. (October 8, 2009 Thursday). Indian embassy in Afghanistan attacked: Was Pakistan involved?; Thursday's suicide bomb attack on the Indian embassy in Kabul raises questions about Pakistan's role in Afghanistan.. The Christian Science Monitor. ","“A suicide car bomb exploded outside the Indian Embassy in Kabul Thursday morning, killing 17 people and wounding dozens more. A Taliban spokesman claimed credit for the attack and said the embassy was the intended target. In July of 2008 militants rammed the same embassy with a car bomb that killed 60 people. Both US and Indian officials later claimed they had uncovered evidence that Pakistan's spy agency was in contact with the attackers.”",Not sure if proxy or covert or not enough proof. Dates provided are first attack and second attack.,1973-05-18,1974-12-31,,1973,5,18,1974,12,31,,,,,ms,0
198,2008,2008,770,129,700,1171,2,Pakistan,Afghanistan,BRA,1,04/14/2008-01/11/2009,2008,MID #4584,"""Afghan and Pakistani troops clashed along the border four separate times.""",no direct mention of rebels,1,2008,2008,210,"Support exists, but is of unknown type for Hizb-i Islami-yi Afghanistan",,0,0,,,,,1,10/2008--12/2008,2008,"Kathy Gannon The Associated Press. (December 21, 2008 Sunday). Cave-by-cave warfare; Pakistan steps up offensive against Taliban forces dug in along its border with Afghanistan. Pittsburgh Post-Gazette (Pennsylvania). ","""The Bajur operation is an example of cooperation between the U.S. and Pakistan, with U.S. forces on the Afghan side of the border providing intelligence, surveillance and reconnaissance to Pakistani forces.""",no end date given,1,08/01/2009,2009,"aliphbay@aol.com (Rupee News). (August 1, 2009 Saturday). Karzai admits to anti-Pakistan terror camps in Afghanistan. Rupee News. ","""Pakistan has already deployed 100,000 troops and established over 1000 border check posts along the 2640-kilometer border with Afghanistan. It has repeatedly asked NATO forces and the Afghan government to seal the border on their side to check illegal border-crossing.""","reported date, not necessarily day of stationing",1,07/07/2008--10/08/2009,2008,"Ben Arnoldy Staff writer of The Christian Science Monitor. (October 8, 2009 Thursday). Indian embassy in Afghanistan attacked: Was Pakistan involved?; Thursday's suicide bomb attack on the Indian embassy in Kabul raises questions about Pakistan's role in Afghanistan.. The Christian Science Monitor. ","“A suicide car bomb exploded outside the Indian Embassy in Kabul Thursday morning, killing 17 people and wounding dozens more. A Taliban spokesman claimed credit for the attack and said the embassy was the intended target. In July of 2008 militants rammed the same embassy with a car bomb that killed 60 people. Both US and Indian officials later claimed they had uncovered evidence that Pakistan's spy agency was in contact with the attackers.”",Not sure if proxy or covert or not enough proof. Dates provided are first attack and second attack.,1973-05-18,1974-12-31,,1973,5,18,1974,12,31,,,,,ms,0
199,2007,2009,770,129,750,1129,2,Pakistan,India,BLA,1,05/2008,2008,MID #4585,"""Tensions between India and Pakistan led to renewed fighting in May 2008""","This is a bit iffy, because it's not clear if Pakistan is responding to Indian support for Baloch rebels. Too much going on at once.",1,2007,2007,2711,Training/Expertise for ULFA,,0,0,,,,,0,0,,,,,0,0,,,,,1,11/26/2008,2008,"(January 6, 2009 Tuesday). India seeks ""concrete"" cooperation from Pakistan on Mumbai attacks. BBC Monitoring South Asia - Political Supplied by BBC Worldwide Monitoring. ","""New Delhi said the ""unpardonable"" act in Mumbai was planned in Pakistan and Islamabad is under obligation, bilaterally as well as multilaterally, to hand over the perpetrators so that they could be brought to ""Indian justice""... India did not rule out the possibility of Pakistani establishment having knowledge about the attacks which were planned for a long time and involved commando-type skills... ""We have today handed over to Pakistan evidence of the links with elements in Pakistan of the terrorists who attacked Mumbai on 26 November 2008,"" India's External Affairs Minister Pranab Mukherjee told reporters here... His statement came soon after Foreign Secretary Shivshankar Menon summoned Pakistan High Commissioner Shahid Malik this morning to hand over the dossier containing evidence, which includes confession of Ajmal Amir Kasab, the lone Pakistani terrorist held during the Mumbai attacks, and other material... To a question, he said the history of relationship between Lashkar-e-Taiba and Pakistan's intelligence agency ISI is well-known.""",Unclear if Pakistani intelligence agency involved or not,1973-05-18,1974-12-31,,1973,5,18,1974,12,31,,,,,ms,0
200,2008,2008,770,129,750,1171,2,Pakistan,India,BRA,0,0,,,,,1,2008,2008,2715,Training/Expertise for ULFA,,0,0,,,,,0,0,,,,,0,0,,,,,1,11/26/2008,2008,"(January 6, 2009 Tuesday). India seeks ""concrete"" cooperation from Pakistan on Mumbai attacks. BBC Monitoring South Asia - Political Supplied by BBC Worldwide Monitoring.","""New Delhi said the ""unpardonable"" act in Mumbai was planned in Pakistan and Islamabad is under obligation, bilaterally as well as multilaterally, to hand over the perpetrators so that they could be brought to ""Indian justice""... India did not rule out the possibility of Pakistani establishment having knowledge about the attacks which were planned for a long time and involved commando-type skills... ""We have today handed over to Pakistan evidence of the links with elements in Pakistan of the terrorists who attacked Mumbai on 26 November 2008,"" India's External Affairs Minister Pranab Mukherjee told reporters here... His statement came soon after Foreign Secretary Shivshankar Menon summoned Pakistan High Commissioner Shahid Malik this morning to hand over the dossier containing evidence, which includes confession of Ajmal Amir Kasab, the lone Pakistani terrorist held during the Mumbai attacks, and other material... To a question, he said the history of relationship between Lashkar-e-Taiba and Pakistan's intelligence agency ISI is well-known.""",Unclear if Pakistani intelligence agency involved or not,1973-05-18,1974-12-31,,1973,5,18,1974,12,31,,,,,ms,0
201,1999,2003,531,130,530,1343,2,Eritrea,Ethiopia,EIJM - AS,0,0,,,,"Lot of interstate incidents between the two countries, but seems primarily driven by the civil war in Ethiopia, and not in Eritrea.",1,1999-2009,1999,"UCDP #6575; ""Ethiopian government and rebels both claim victory in western battles,"" Canadian Press, 6/29/2002",,Some doubt as to whether this started with Eritrean intervention in Ethiopia or other way around. Strongly tied to interstate conflict.,0,0,,,,,0,0,,,,,0,0,,,,,1,0,,http://www.madote.com/2015/11/a-look-at-ethiopias-support-of-al-qaeda.html,"The so-called Eritrean Islamic Reform Movement (EIRM), which up until 2003 was known as the Eritrean Islamic Jihad Movement (EIJM), is an Ethiopian-backed Al-Qaeda terrorist group that aims to establish an Islamic Caliphate in Eritrea by overthrowing the secular Eritrean government. With the support of the Sudan and Saudi Arabia, EIJM formed in the early 1980s, in Gedaref, Sudan. The group was originally comprised of Islamist members of the Eritrean Liberation Front (ELF), which had many of its senior members participate in the Soviet–Afghan War. Since its formation, a number of Islamist groups split from EIJM to form their own jihadi groups. Among the biggest split came from the Eritrean Islamic Salvation Movement (EISM), which left EIJM in 1998. EISM went on to gain Ethiopian support after it changed its name to the Eritrean Islamic Party for Justice and Development, a change critics say was Addis Ababa's poor attempt of putting lipstick on an Al-Qaeda pig. Eritrea, initially federated to Ethiopia in 1952 was thereafter annexed in 1962 by Ethiopia with the tacit complicity of the UN. All this was done without regard to the Eritrean people’s aspiration for self-determination. This led the Eritrean people to engage in a 30-year war with Ethiopia – what has been referred to as the “long struggle”. It was only in 1991 that Eritrea achieved independence and was recognized by the UN as an independent country in 1993. That same year, Isaias Afwerki was elected to office with almost unanimous majority as the President of the newly independent Eritrea. It is now 25 years since independence. Sadly, what had intended to be the beginning of peaceful relations between Ethiopia and Eritrea evolved instead into hostilities. In 1998, Eritrea and Ethiopia went to war in what is known as the Boundary War which lasted until the year 2000. A costly war, with substantive loss of lives on both sides, with Ethiopia suffering the heaviest of causalities. The Origins of the Border Conflict: To understand the origins and the nature of the conflict, one needs to look back in time to ascertain the intention and modus operandi of the actions and decisions that emanated in the attacks in 1998 and the ensuing border war. One must be aware that around this period, the bilateral ties between Eritrea and Ethiopia were close and cordial and it is therefore difficult to make sense of why the town of Badme in Eritrea, often cited as the casus belli, was relevant. It is only upon review of facts that one is made aware of Ethiopia’s concerted plan to alter the boundaries by laying new facts on the ground, including in Badme and Adi Murug and the unprovoked border skirmishes, as part of a complex, premeditated and centrally planned operation, that included the concerted engagement of external actors.",The dates of the civil war in Eritrea and the border war between Eritrea and Ethiopia clash. The border war began in 1998 and did not end until 2000. The civil war began and ended in 1999. It is difficult to tell exactly how Eritrea might have retaliated given that they were already in a war with Ethiopia at the time. ,1993-12-16,1997-06-30,1997-06-30,1993,12,16,1997,6,30,1997,6,30,222,"kv, hil",0
202,1997,2003,531,130,625,1343,2,Eritrea,Sudan,EIJM - AS,0,0,,,,"Interstate conflict between the two, but Sudanese intervention was a response to the interstate conflict.",1,1997-2005,1997,"UCDP #5343, #5462; ""Sudanese rebels say they have killed 25 soldiers, 50 injured,"" Agence France Presse, 1/16/1997",,"Eritrea started supporting Sudanese rebels in 1995, continuing into the 2000s. So Sudanese intervention seems to be proxy retaliation. Eritrea supported four different groups in the period in the same conflict against the government.",0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1993-12-16,1997-06-30,1997-06-30,1993,12,16,1997,6,30,1997,6,30,152; 153; 154; 155,"kv, hil",0
203,2003,2003,531,130,678,1343,2,Eritrea,Yemen,EIJM - AS,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1993-12-16,1997-06-30,1997-06-30,1993,12,16,1997,6,30,1997,6,30,,ec,0
204,1975,1992,540,131,2,1421,2,Angola,United States,UNITA,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,1975-11-11,1975-11-11,,1975,11,11,1975,11,11,,,,,hil,0
